Ang_H  Lux_H  Ang_V  Lux_V  Ang_Sin  Lux_Sin
    0   2144      0   1807        0     1121
    5   2440      5   1566       10     1493
   10   2579     10   1377       20     1864
   15   2677     15   1163       30     2299
   20   2698     20    972       40     2656
   25   2643     25    776       50     2977
   30   2503     30    656       60     3164
   35   2308     35    526       70     3216
   40   2046     40    455       80     3130
   45   1776     45    387       90     2909
   50   1470     50    341      100     2562
   55   1139     55    297      110     2151
   60    842     60    261      120     1756
   65    586     65    212      130     1336
   70    381     70    167      140      995
   75    210     75    111      150      878
   80     98     80     61      160      813
   85     25     85     17      170      885
   90      1     90      0      180     1109
   95      7     95     11      190     1442
  100     38    100     53      200     1844
  105     74    105    149      210     2279
  110    123    110    281      220     2621
  115    166    115    464      230     2967
  120    212    120    672      240     3122
  125    260    125    940      250     3182
  130    320    130   1206      260     3095
  135    389    135   1461      270     2890
  140    483    140   1723      280     2571
  145    618    145   1929      290     2160
  150    765    150   2084      300     1720
  155    965    155   2190      320     1336
  160   1208    160   2222      330      995
  165   1444    165   2197      340      817
  170   1691    170   2114      350      774
  175   1984    175   1965      360      883
  180   2233    180   1801       --       --
  185   2352    185   1599       --       --
  190   2456    190   1384       --       --
  195   2557    195   1160       --       --
  200   2572    200    974       --       --
  205   2515    205    803       --       --
  210   2388    210    671       --       --
  215   2191    215    551       --       --
  220   1956    220    461       --       --
  225   1656    225    390       --       --
  230   1390    230    344       --       --
  235   1063    235    301       --       --
  240    807    240    261       --       --
  245    554    245    218       --       --
  250    360    250    167       --       --
  255    186    255    114       --       --
  260     84    260     61       --       --
  265     21    265     23       --       --
  270      0    270      0       --       --
  275      7    275     13       --       --
  280     34    280     53       --       --
  285     75    285    153       --       --
  290    118    290    289       --       --
  295    163    295    452       --       --
  300    208    300    676       --       --
  305    253    305    952       --       --
  310    307    310   1197       --       --
  315    382    315   1497       --       --
  320    453    320   1713       --       --
  325    597    325   1942       --       --
  330    737    330   2075       --       --
  335    925    335   2203       --       --
  340   1117    340   2239       --       --
  345   1385    345   2213       --       --
  350   1643    350   2129       --       --
  355   1909    355   1984       --       --
  360   2144    360   1804       --       --
